index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus
LYNS,Lyons,Tasmania,"Joseph Aloysius Lyons CH, 1879–1939; Dame Enid Muriel Lyons, DGBE(C) AD, 1897–1981",12/09/1984,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
MACQ,Macquarie,New South Wales,"Maj-Gen. Lachlan Macquarie, 1761–1824",11/12/2000,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MAKN,Makin,South Australia,"Hon. Norman John Oswald Makin AO, 1889–1982",03/09/1984,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
MAYO,Mayo,South Australia,"Dr Helen Mary Mayo OBE, 1878–1967",03/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
MBYN,Maribyrnong,Victoria,"Maribyrnong River/Mirring-gnay-bir-nong, Wurundjeri Country",13/07/2006,,FALSE,,,,,TRUE,TRUE
MCEW,McEwen,Victoria,"Rt Hon. Sir John McEwen GCMG CH, 1900–80",14/09/1984,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
MCNM,Macnamara,Victoria,"Dame Annie Jean Macnamara DBE, 1899–1968",13/07/2018,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
MCRF,Moncrieff,Queensland,"Gladys Lillian Moncrieff, 1892–1976",13/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
MCTH,Macarthur,New South Wales,"Elizabeth Macarthur, 1766–1850; Capt John Macarthur, 1767–1834",11/05/2049,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
MELB,Melbourne,Victoria,"City of Melbourne, est. 1837",26/09/2000,,TRUE,,,,,TRUE,FALSE
MKLR,Mackellar,New South Wales,"Isobel Marion Dorothea Mackellar OBE, 1885–1968",11/05/2049,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
MLLE,Mallee,Victoria,"Mallee region/Mali,  Wergaia Country",11/05/2049,,FALSE,,,,,TRUE,TRUE
MMHN,McMahon,New South Wales,"Rt Hon. Sir William McMahon GCMG CH, 1908–88",22/12/2009,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
MNSH,Monash,Victoria,"Sir John Monash CB(M) KCB(M) GCMG, 1865–1931",13/07/2018,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
MNZS,Menzies,Victoria,"Rt Hon. Sir Robert Gordon Menzies KT CH QC, 1894–1978",14/09/1984,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
MOOR,Moore,Western Australia,"George Fletcher Moore, 1798–1886",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MPHS,McPherson,Queensland,"McPherson Range, Yugambeh Country",11/05/2049,,FALSE,,,,,TRUE,FALSE
MRNA,Maranoa,Queensland,"Maranoa River,  Mandandanji Country",28/12/2000,,TRUE,,,,,TRUE,TRUE
MRTN,Moreton,Queensland,"Moreton Bay/Quandamooka, Quandamooka Country",28/12/2000,,TRUE,,,,,TRUE,FALSE
MTCH,Mitchell,New South Wales,"Sir Thomas Livingstone Mitchell, 1792–1855",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NCHL,Nicholls,Victoria,"Sir Douglas Ralph Nicholls MBE(C) OBE(C) KCVO, 1906–88; Lady Gladys Nicholls, 1906–81",13/07/2018,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
NENG,New England,New South Wales,"New England region, Kamilaroi and Ngarabal Country",11/12/2000,,TRUE,,,,,TRUE,FALSE
NEWC,Newcastle,New South Wales,"City of Newcastle, est. 1804",11/12/2000,,TRUE,,,,,TRUE,FALSE
NSYD,North Sydney,New South Wales,"Suburb of North Sydney, est. 1794",11/12/2000,10/10/2024,TRUE,,,,,TRUE,FALSE
