index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus,islinked
SPNC,Spence,South Australia,"Catherine Helen Spence, 1825–1910",20/07/2018,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
STRT,Sturt,South Australia,"Capt Charles Napier Sturt,  1795–1869",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
SWAN,Swan,Western Australia,"Swan River / Derbarl Yerrigan, Nyungar Country",05/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
SYDN,Sydney,New South Wales,"City of Sydney / Warrane, Gadigal Country",21/11/1968,,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
TGNY,Tangney,Western Australia,"Dame Dorothy Margaret Tangney DBE, 1907–85",19/04/1974,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
WNNN,Wannon,Victoria,"Wannon River, Jardwadjali Country",08/10/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
WGAH,Warringah,New South Wales,"Warrin ga / Middle Harbour, Gamaragal Country",13/09/1922,,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
WTSN,Watson,New South Wales,"The Hon John Christian Watson, 1867–1941",31/01/1992,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
WWTH,Wentworth,New South Wales,"The Hon William Charles Wentworth, 1790 –1872",11/12/1900,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
WRWA,Werriwa,New South Wales,"Weereewa / Lake George, Ngunnawal Country",11/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,FALSE
WHLM,Whitlam,New South Wales,"The Hon Edward Gough Whitlam AC QC, 1916–2014",25/02/2016,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
WDBY,Wide Bay,Queensland,"Wide Bay / Cooloola, Butchulla Country",28/12/1900,,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,TRUE
WLLS,Wills,Victoria,"William John Wills, 1834–61",11/05/1949,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
WGHT,Wright,Queensland,"Judith Arundell Wright, 1915–2000",15/12/2009,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,N/A
ANGS,Angas,South Australia,"George Fife Angas, 1789–1879",11/05/1949,01/11/1977,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
AGAS,Angas,South Australia,"George Fife Angas, 1789–1879",02/10/1903,01/08/1934,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
